location_name__c,Name,point__Longitude__s,point__Latitude__s
東京都/葛飾区/立石/四丁目/３３番,セブンイレブン葛飾立石4丁目店,139.84856,35.74111
東京都/葛飾区/立石/五丁目/１１番,ミニストップ立石５丁目店,139.84628,35.74245
東京都/葛飾区/立石/五丁目/１８番,ファミリーマート立石五丁目店,139.84438,35.74467
東京都/葛飾区/立石/五丁目/４番,セブンイレブン葛飾立石5丁目店,139.84427,35.7437
東京都/葛飾区/立石/六丁目/３４番,エーエムピーエム葛飾立石6丁目店,139.85298,35.74225
東京都/葛飾区/立石/八丁目/４３番,ローソン立石八丁目店,139.85715,35.73986
東京都/江戸川区/一之江/三丁目/１番,ファミリーマート一之江三丁目店,139.8847,35.68598
東京都/江戸川区/一之江/六丁目/２０番,（有）岩楯商店,139.87862,35.69014
東京都/江戸川区/一之江/七丁目/１３番,セブンイレブン江戸川一之江7丁目店,139.87711,35.68634
東京都/江戸川区/一之江/七丁目/３４番,セブンイレブン一之江駅環七通り店,139.88246,35.68679
東京都/江戸川区/一之江/七丁目/６５番,ファミリーマート春江町四丁目店,139.87602,35.6835
東京都/江戸川区/一之江/七丁目/８１番,ファミリーマート一之江七丁目店,139.88036,35.6852
東京都/江戸川区/一之江/八丁目/１７番,ローソン一之江駅前店,139.88344,35.68668
東京都/江戸川区/興宮町/５番,セブンイレブン江戸川興宮町店,139.87546,35.7217
東京都/江戸川区/江戸川/二丁目/６番地,ファミリーマート須賀江戸川二丁目店,139.90254,35.68671
東京都/江戸川区/江戸川/三丁目/４１番地,みぞぐち,139.89027,35.68419
東京都/江戸川区/江戸川/五丁目/２５番地,セブンイレブン江戸川5丁目店,139.883,35.67305
東京都/江戸川区/江戸川/六丁目/２０番地,スリーエフ江戸川三角店,139.87158,35.67511
東京都/江戸川区/鹿骨/一丁目/４３番,ミニストップ鹿骨１丁目店,139.88937,35.7072
東京都/江戸川区/鹿骨/一丁目/５３番,セブンイレブン江戸川鹿骨1丁目店,139.88989,35.70854
東京都/江戸川区/鹿骨/二丁目/４２番,スリーエフ篠崎公園前店,139.89484,35.7085
東京都/江戸川区/鹿骨/四丁目/６番,セブンイレブン江戸川鹿骨4丁目店,139.88843,35.71397
東京都/江戸川区/鹿骨/五丁目/３９番,ファミリーマート鹿骨五丁目店,139.88431,35.71771
東京都/江戸川区/篠崎町/一丁目/３３３番地,ミニストップ篠崎１丁目店,139.90437,35.70953
東京都/江戸川区/篠崎町/一丁目/４０４番地,モンマートあわじや,139.90387,35.7081
東京都/江戸川区/篠崎町/二丁目/１８８番地,ローソン篠崎町二丁目店,139.90741,35.70532
東京都/江戸川区/篠崎町/二丁目/４０６番地,ファミリーマート篠崎駅南口店,139.90475,35.70613
東京都/江戸川区/篠崎町/三丁目/２５番,ファミリーマート篠崎三丁目店,139.91396,35.70281
東京都/江戸川区/篠崎町/四丁目/１３番,サンクス江戸川篠崎店,139.91153,35.69858
東京都/江戸川区/篠崎町/五丁目/１０番,コミュニティ・ストア篠崎町はんだ店,139.90819,35.70173
東京都/江戸川区/篠崎町/五丁目/１１番,セブンイレブン江戸川篠崎5丁目店,139.90848,35.70094
東京都/江戸川区/篠崎町/六丁目/８番,長谷川商店,139.90399,35.70118
東京都/江戸川区/篠崎町/七丁目/１２番,セブンイレブン谷河内店,139.90176,35.70338
東京都/江戸川区/篠崎町/七丁目/１８番,森田屋酒店,139.90213,35.70701
東京都/江戸川区/篠崎町/七丁目/２３番,ファミリーマート篠崎町七丁目店,139.90468,35.70419
東京都/江戸川区/篠崎町/七丁目/２９番,サンクス篠崎駅前店,139.9032,35.70649
東京都/江戸川区/篠崎町/七丁目/２９番,スリーエフ篠崎駅前店,139.9032,35.70649
東京都/江戸川区/春江町/三丁目/２０番,ファミリーマート春江三丁目店,139.89015,35.69313
東京都/江戸川区/春江町/三丁目/３８番,セブンイレブン江戸川春江町3丁目店,139.88792,35.69679
東京都/江戸川区/春江町/五丁目/１５番地,セブンイレブン江戸川春江町5丁目店,139.873,35.67907
東京都/江戸川区/小松川/一丁目/４番,エーエムピーエム東大島駅前店,139.84917,35.69007
東京都/江戸川区/松江/一丁目/７番,ローソン松江店,139.86827,35.70175
東京都/江戸川区/松江/二丁目/１７番,坂上商店,139.873,35.70217
東京都/江戸川区/松江/二丁目/３２番,セブンイレブン同潤会松江店,139.87474,35.70268
東京都/江戸川区/松江/二丁目/４番,おれんじ,139.87238,35.69735
